0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:21:03 +0530] "GET /spring-mvc-simple/Login HTTP/1.1" 200 1842
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:23:27 +0530] "POST /spring-mvc-simple/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:23:27 +0530] "GET /spring-mvc-simple/Welcome HTTP/1.1" 200 1283
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:23:29 +0530] "GET /spring-mvc-simple/Login?operation=logout HTTP/1.1" 200 1959
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:23:35 +0530] "POST /spring-mvc-simple/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:23:35 +0530] "GET /spring-mvc-simple/UserRegistration HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:27:26 +0530] "GET /spring-mvc-simple/Login?operation=logout HTTP/1.1" 200 1959
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:27:29 +0530] "POST /spring-mvc-simple/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:27:29 +0530] "GET /spring-mvc-simple/Register HTTP/1.1" 200 2397
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:27:39 +0530] "GET /spring-mvc-simple/Login HTTP/1.1" 200 1891
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:27:47 +0530] "POST /spring-mvc-simple/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:27:47 +0530] "GET /spring-mvc-simple/Welcome HTTP/1.1" 200 1283
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:27:50 +0530] "GET /spring-mvc-simple/User/search HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:33:50 +0530] "GET /spring-mvc-simple/User/search HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:36:37 +0530] "GET /spring-mvc-simple/User HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:41:55 +0530] "GET /spring-mvc-simple/User HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:42:02 +0530] "GET /spring-mvc-simple/User HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:42:26 +0530] "GET /spring-mvc-simple/User HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:45:47 +0530] "GET /spring-mvc-simple/User HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:54:17 +0530] "GET /spring-mvc-simple/User HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:54:22 +0530] "GET /spring-mvc-simple/User HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:58:40 +0530] "GET /spring-mvc-simple/User HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:58:46 +0530] "GET /spring-mvc-simple/User HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:59:15 +0530] "GET /spring-mvc-simple/User HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:59:41 +0530] "GET /spring-mvc-simple/User HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/Dec/2024:00:59:55 +0530] "GET /spring-mvc-simple/User HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:01:25 +0530] "GET /spring-mvc-simple/User HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:01:34 +0530] "GET /spring-mvc-simple/User HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:02:58 +0530] "GET /spring-mvc-simple/User/search HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:03:03 +0530] "GET /spring-mvc-simple/Welcome HTTP/1.1" 200 1176
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:03:06 +0530] "GET /spring-mvc-simple/Login HTTP/1.1" 200 1891
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:03:13 +0530] "POST /spring-mvc-simple/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:03:13 +0530] "GET /spring-mvc-simple/Welcome HTTP/1.1" 200 1291
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:03:16 +0530] "GET /spring-mvc-simple/Ctl/User/search HTTP/1.1" 200 3026
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:03:18 +0530] "GET /spring-mvc-simple/Ctl/User HTTP/1.1" 200 2502
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:03:25 +0530] "GET /spring-mvc-simple/Ctl/User/search HTTP/1.1" 200 3026
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:03:33 +0530] "GET /spring-mvc-simple/ctl/User?id=1 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:04:54 +0530] "GET /spring-mvc-simple/ctl/User?id=1 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:05:02 +0530] "GET /spring-mvc-simple/ctl/User/search HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:05:35 +0530] "GET /spring-mvc-simple/ctl/User/search HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:05:42 +0530] "GET /spring-mvc-simple/ctl/User/search HTTP/1.1" 404 682
